2022-06-07 08:24:56.434 INFO  [main][PortalContextLoaderListener:139] JVM arguments: -Dcatalina.base=C:\liferay\liferay-ce-portal-7.3.7-ga8\tomcat-9.0.43 -Dcatalina.home=C:\liferay\liferay-ce-portal-7.3.7-ga8\tomcat-9.0.43 -Dfile.encoding=UTF8 -Djava.io.tmpdir=C:\liferay\liferay-ce-portal-7.3.7-ga8\tomcat-9.0.43\temp -Djava.net.preferIPv4Stack=true -Djava.util.logging.config.file=C:\liferay\liferay-ce-portal-7.3.7-ga8\tomcat-9.0.43\conf\logging.properties -Djava.util.logging.manager=org.apache.juli.ClassLoaderLogManager -Dorg.apache.catalina.loader.WebappClassLoader.ENABLE_CLEAR_REFERENCES=false -Duser.timezone=GMT -Xmx2560m -javaagent:C:\Programske datoteke\JetBrains\IntelliJ IDEA 2021.3.2\lib\idea_rt.jar=49718:C:\Programske datoteke\JetBrains\IntelliJ IDEA 2021.3.2\bin
2022-06-07 08:25:57.294 WARN  [main][DialectDetector:99] Liferay is configured to use Hypersonic as its database. Do NOT use Hypersonic in production. Hypersonic is an embedded database useful for development and demonstration purposes. The database settings can be changed in portal-ext.properties.
2022-06-07 08:25:57.294 INFO  [main][DialectDetector:159] Using dialect com.liferay.portal.dao.orm.hibernate.HSQLDialect for HSQL Database Engine 2.3
2022-06-07 08:26:00.575 INFO  [main][ModuleFrameworkImpl:1602] Starting initial bundles
2022-06-07 08:26:05.386 INFO  [main][ModuleFrameworkImpl:1896] Started initial bundles
2022-06-07 08:26:05.386 INFO  [main][ModuleFrameworkImpl:1949] Starting dynamic bundles
2022-06-07 08:26:28.662 INFO  [main][ModuleFrameworkImpl:1971] Started dynamic bundles
2022-06-07 08:26:28.662 INFO  [main][ModuleFrameworkImpl:1978] Starting web bundles
2022-06-07 08:26:32.349 INFO  [main][ModuleFrameworkImpl:2032] Started web bundles
2022-06-07 08:26:32.349 INFO  [main][ModuleFrameworkImpl:408] Navigate to Control Panel > System > Gogo Shell and enter "lb" to see all bundles
2022-06-07 08:26:32.848 INFO  [main][LoggingTimer:83] Starting com.liferay.portal.events.StartupHelperUtil#initResourceActions
2022-06-07 08:26:32.864 INFO  [main][LoggingTimer:44] Completed com.liferay.portal.events.StartupHelperUtil#initResourceActions in 16 ms
2022-06-07 08:26:39.597 WARN  [main][SidecarManager:111] Liferay automatically starts a child process of Elasticsearch named sidecar for convenient development and demonstration purposes. Do NOT use sidecar in production. Refer to the documentation for details on the limitations of sidecar and instructions on configuring a remote Elasticsearch connection in the Control Panel.
2022-06-07 08:26:56.107 INFO  [main][Sidecar:119] Sidecar Elasticsearch liferay started at 127.0.0.1:9201
2022-06-07 08:27:28.184 INFO  [main][StartupHelperUtil:109] There are no patches installed
2022-06-07 08:27:28.346 INFO  [main][LoggingTimer:83] Starting com.liferay.portal.events.StartupHelperUtil#initResourceActions
2022-06-07 08:27:28.386 INFO  [main][LoggingTimer:44] Completed com.liferay.portal.events.StartupHelperUtil#initResourceActions in 40 ms
2022-06-07 08:27:30.452 INFO  [main][AutoDeployDir:206] Auto deploy scanner started for C:\liferay\liferay-ce-portal-7.3.7-ga8\deploy
2022-06-07 08:27:41.024 INFO  [main][SystemCheckOSGiCommands:59] System check is enabled. You can run a system check with the command "system:check" in Gogo shell.
2022-06-07 08:27:41.025 INFO  [main][SystemCheckOSGiCommands:71] Running system check
2022-06-07 08:27:41.026 INFO  [main][SystemCheckOSGiCommands:98] Available checkers :[Declarative Service Soft Circular Dependency Checker, Declarative Service Unsatisfied Component Checker, Spring Extender Unavailable Component Checker]
2022-06-07 08:27:41.027 INFO  [main][SystemCheckOSGiCommands:114] Running "Declarative Service Soft Circular Dependency Checker". You can run this by itself with command "ds:softCircularDependency" in gogo shell.
2022-06-07 08:27:48.657 INFO  [com.liferay.portal.osgi.web.wab.extender.internal.WabFactory-BundleTrackerOpener][ThemeHotDeployListener:108] 1 theme for speedwell-theme is available for use
2022-06-07 08:27:48.988 INFO  [com.liferay.portal.osgi.web.wab.extender.internal.WabFactory-BundleTrackerOpener][ThemeHotDeployListener:108] 1 theme for admin-theme is available for use
2022-06-07 08:27:49.266 INFO  [com.liferay.portal.osgi.web.wab.extender.internal.WabFactory-BundleTrackerOpener][ThemeHotDeployListener:108] 1 theme for classic-theme is available for use
2022-06-07 08:27:49.478 INFO  [main][SystemCheckOSGiCommands:126] Declarative Service Soft Circular Dependency Checker check result: No issues were found.
2022-06-07 08:27:49.480 INFO  [main][SystemCheckOSGiCommands:114] Running "Declarative Service Unsatisfied Component Checker". You can run this by itself with command "ds:unsatisfied" in gogo shell.
2022-06-07 08:27:49.683 INFO  [com.liferay.portal.osgi.web.wab.extender.internal.WabFactory-BundleTrackerOpener][ThemeHotDeployListener:108] 1 theme for minium-theme is available for use
2022-06-07 08:28:21.467 INFO  [main][SystemCheckOSGiCommands:126] Declarative Service Unsatisfied Component Checker check result: No issues were found.
2022-06-07 08:28:21.468 INFO  [main][SystemCheckOSGiCommands:114] Running "Spring Extender Unavailable Component Checker". You can run this by itself with command "dm na" in gogo shell.
2022-06-07 08:28:21.471 INFO  [main][SystemCheckOSGiCommands:126] Spring Extender Unavailable Component Checker check result: No issues were found.
2022-06-07 14:57:12.996 INFO  [main][PortalContextLoaderListener:139] JVM arguments: -Dcatalina.base=C:\liferay\liferay-ce-portal-7.3.7-ga8\tomcat-9.0.43 -Dcatalina.home=C:\liferay\liferay-ce-portal-7.3.7-ga8\tomcat-9.0.43 -Dfile.encoding=UTF8 -Djava.io.tmpdir=C:\liferay\liferay-ce-portal-7.3.7-ga8\tomcat-9.0.43\temp -Djava.net.preferIPv4Stack=true -Djava.util.logging.config.file=C:\liferay\liferay-ce-portal-7.3.7-ga8\tomcat-9.0.43\conf\logging.properties -Djava.util.logging.manager=org.apache.juli.ClassLoaderLogManager -Dorg.apache.catalina.loader.WebappClassLoader.ENABLE_CLEAR_REFERENCES=false -Duser.timezone=GMT -Xmx2560m -javaagent:C:\Programske datoteke\JetBrains\IntelliJ IDEA 2021.3.2\lib\idea_rt.jar=52703:C:\Programske datoteke\JetBrains\IntelliJ IDEA 2021.3.2\bin
2022-06-07 14:58:41.868 WARN  [main][DialectDetector:99] Liferay is configured to use Hypersonic as its database. Do NOT use Hypersonic in production. Hypersonic is an embedded database useful for development and demonstration purposes. The database settings can be changed in portal-ext.properties.
2022-06-07 14:58:41.868 INFO  [main][DialectDetector:159] Using dialect com.liferay.portal.dao.orm.hibernate.HSQLDialect for HSQL Database Engine 2.3
2022-06-07 14:58:46.965 INFO  [main][ModuleFrameworkImpl:1602] Starting initial bundles
2022-06-07 14:58:52.948 INFO  [main][ModuleFrameworkImpl:1896] Started initial bundles
2022-06-07 14:58:52.948 INFO  [main][ModuleFrameworkImpl:1949] Starting dynamic bundles
2022-06-07 14:59:21.130 INFO  [main][ModuleFrameworkImpl:1971] Started dynamic bundles
2022-06-07 14:59:21.130 INFO  [main][ModuleFrameworkImpl:1978] Starting web bundles
2022-06-07 14:59:28.609 INFO  [main][ModuleFrameworkImpl:2032] Started web bundles
2022-06-07 14:59:28.609 INFO  [main][ModuleFrameworkImpl:408] Navigate to Control Panel > System > Gogo Shell and enter "lb" to see all bundles
2022-06-07 14:59:29.296 INFO  [main][LoggingTimer:83] Starting com.liferay.portal.events.StartupHelperUtil#initResourceActions
